country,very_good,somewhat_good,somewhat_bad,very_bad,DK,Total
Canada,4,39,33,23,1,100
Belgium,4,42,36,16,2,100
France,2,30,41,27,1,100
Germany,8,53,25,13,1,100
Greece,0,19,40,41,0,100
Hungary,4,40,36,17,2,100
Italy,1,20,50,28,0,100
Netherlands,10,52,30,8,1,100
Poland,6,40,33,19,2,100
Spain,3,17,37,42,0,100
Sweden,13,71,12,2,1,100
UK,4,31,37,28,0,100
Israel,15,44,31,10,0,100
Australia,4,41,46,8,0,100
Japan,1,17,57,24,1,100
Malaysia,16,42,31,11,0,100
Singapore,14,57,23,6,0,100
South Korea,3,26,46,24,1,100
