country_code,country,year,population,age_range,rate_type,suicide_rate,lower_bound,upper_bound
4,Afghanistan,2019,Total,35 to 44 years,RATE_PER_100000,8.65,,
4,Afghanistan,2019,Total,25 to 34 years,RATE_PER_100000,7.6,,
4,Afghanistan,2019,Total,30 to 49 years,RATE_PER_100000,8.5,,
4,Afghanistan,2019,Total,55 to 64 years,RATE_PER_100000,9.82,,
4,Afghanistan,2019,Total,65 to 74 years,RATE_PER_100000,10.73,,
4,Afghanistan,2019,Female,15 to 19 years,RATE_PER_100000,2.02,,
4,Afghanistan,2019,Total,15 to 29 years,RATE_PER_100000,5.41,,
4,Afghanistan,2019,Female,25 to 34 years,RATE_PER_100000,5.84,,
4,Afghanistan,2019,Female,65 to 74 years,RATE_PER_100000,13.4,,
4,Afghanistan,2019,Total,45 to 54 years,RATE_PER_100000,9.56,,
4,Afghanistan,2019,Total,85 plus years,RATE_PER_100000,24.46,,
4,Afghanistan,2019,Female,15 to 24 years,RATE_PER_100000,3.26,,
4,Afghanistan,2019,Female,75 to 84 years,RATE_PER_100000,7.74,,
4,Afghanistan,2019,Male,25 to 34 years,RATE_PER_100000,9.21,,
4,Afghanistan,2019,Male,35 to 44 years,RATE_PER_100000,10.48,,
4,Afghanistan,2019,Male,55 to 64 years,RATE_PER_100000,7.07,,
4,Afghanistan,2019,Male,75 to 84 years,RATE_PER_100000,9.34,,
4,Afghanistan,2019,Female,85 plus years,RATE_PER_100000,21.49,,
4,Afghanistan,2019,Female,Total years,RATE_PER_100000,3.61,2.04,5.94
4,Afghanistan,2019,Male,15 to 24 years,RATE_PER_100000,6.09,,
4,Afghanistan,2019,Male,15 to 29 years,RATE_PER_100000,6.8,,
953,Africa,2019,Female,Total years,RATE_PER_100000,3.27,1.85,5.24
953,Africa,2019,Male,Total years,RATE_PER_100000,10.5522,6.46,16.3524
24,Angola,2019,Total,15 to 29 years,RATE_PER_100000,4.23,,
24,Angola,2019,Total,30 to 49 years,RATE_PER_100000,9.32,,
24,Angola,2019,Total,45 to 54 years,RATE_PER_100000,20.49,,
24,Angola,2019,Total,65 to 74 years,RATE_PER_100000,47.41,,
24,Angola,2019,Female,45 to 54 years,RATE_PER_100000,7.74,,
24,Angola,2019,Female,65 to 74 years,RATE_PER_100000,18.65,,
24,Angola,2019,Female,75 to 84 years,RATE_PER_100000,23.49,,
24,Angola,2019,Female,85 plus years,RATE_PER_100000,60.07,,
24,Angola,2019,Male,30 to 49 years,RATE_PER_100000,15.89,,
24,Angola,2019,Male,55 to 64 years,RATE_PER_100000,52.44,,
4,Afghanistan,2019,Male,45 to 54 years,RATE_PER_100000,8.14,,
4,Afghanistan,2019,Male,85 plus years,RATE_PER_100000,28.6,,
4,Afghanistan,2019,Male,Total years,RATE_PER_100000,4.63,2.62,7.93
24,Angola,2019,Total,15 to 24 years,RATE_PER_100000,3.7,,
24,Angola,2019,Male,65 to 74 years,RATE_PER_100000,80.35,,
24,Angola,2019,Male,85 plus years,RATE_PER_100000,341.3,,
8,Albania,2019,Total,30 to 49 years,RATE_PER_100000,4.15,,
8,Albania,2019,Total,45 to 54 years,RATE_PER_100000,6.16,,
24,Angola,2019,Female,15 to 29 years,RATE_PER_100000,1.39,,
24,Angola,2019,Male,15 to 19 years,RATE_PER_100000,4.4,,
24,Angola,2019,Male,25 to 34 years,RATE_PER_100000,10.01,,
24,Angola,2019,Male,45 to 54 years,RATE_PER_100000,34.24,,
24,Angola,2019,Male,75 to 84 years,RATE_PER_100000,123.4,,
8,Albania,2019,Total,15 to 19 years,RATE_PER_100000,5.97,,
8,Albania,2019,Total,25 to 34 years,RATE_PER_100000,2.73,,
8,Albania,2019,Female,15 to 19 years,RATE_PER_100000,8.59,,
8,Albania,2019,Female,15 to 24 years,RATE_PER_100000,4.79,,
8,Albania,2019,Female,25 to 34 years,RATE_PER_100000,1.55,,
8,Albania,2019,Female,65 to 74 years,RATE_PER_100000,1.89,,
954,Americas,2019,Male,Total years,RATE_PER_100000,15.0459,13.0717,20.3424
784,United Arab Emirates,2019,Total,15 to 19 years,RATE_PER_100000,2.57,,
784,United Arab Emirates,2019,Total,15 to 24 years,RATE_PER_100000,5.67,,
784,United Arab Emirates,2019,Total,35 to 44 years,RATE_PER_100000,7.88,,
784,United Arab Emirates,2019,Total,65 to 74 years,RATE_PER_100000,6.12,,
784,United Arab Emirates,2019,Total,85 plus years,RATE_PER_100000,17.06,,
784,United Arab Emirates,2019,Female,45 to 54 years,RATE_PER_100000,2.91,,
784,United Arab Emirates,2019,Female,Total years,RATE_PER_100000,2.97,1.65,4.9
784,United Arab Emirates,2019,Male,30 to 49 years,RATE_PER_100000,8.84,,
8,Albania,2019,Female,30 to 49 years,RATE_PER_100000,1.17,,
8,Albania,2019,Female,75 to 84 years,RATE_PER_100000,8.76,,
8,Albania,2019,Male,15 to 29 years,RATE_PER_100000,4.55,,
8,Albania,2019,Male,30 to 49 years,RATE_PER_100000,6.97,,
784,United Arab Emirates,2019,Male,75 to 84 years,RATE_PER_100000,9.81,,
784,United Arab Emirates,2019,Male,85 plus years,RATE_PER_100000,14.47,,
32,Argentina,2019,Total,15 to 24 years,RATE_PER_100000,11.77,,
32,Argentina,2019,Total,15 to 29 years,RATE_PER_100000,11.89,,
4,Afghanistan,2019,Total,15 to 19 years,RATE_PER_100000,3.28,,
4,Afghanistan,2019,Total,15 to 24 years,RATE_PER_100000,4.71,,
4,Afghanistan,2019,Total,75 to 84 years,RATE_PER_100000,8.47,,
4,Afghanistan,2019,Total,Total years,RATE_PER_100000,4.13,2.34,6.96
32,Argentina,2019,Total,75 to 84 years,RATE_PER_100000,13.91,,
32,Argentina,2019,Total,85 plus years,RATE_PER_100000,15.83,,
32,Argentina,2019,Total,Total years,RATE_PER_100000,8.37,6.65,10.3396
32,Argentina,2019,Female,15 to 19 years,RATE_PER_100000,6.64,,
784,United Arab Emirates,2019,Total,15 to 29 years,RATE_PER_100000,7.21,,
784,United Arab Emirates,2019,Total,45 to 54 years,RATE_PER_100000,7.36,,
784,United Arab Emirates,2019,Total,75 to 84 years,RATE_PER_100000,9.21,,
784,United Arab Emirates,2019,Total,Total years,RATE_PER_100000,6.43,3.64,10.3254
4,Afghanistan,2019,Female,15 to 29 years,RATE_PER_100000,3.93,,
4,Afghanistan,2019,Female,30 to 49 years,RATE_PER_100000,6.96,,
4,Afghanistan,2019,Female,35 to 44 years,RATE_PER_100000,6.66,,
4,Afghanistan,2019,Female,45 to 54 years,RATE_PER_100000,11.07,,
4,Afghanistan,2019,Female,55 to 64 years,RATE_PER_100000,12.6,,
4,Afghanistan,2019,Male,15 to 19 years,RATE_PER_100000,4.48,,
24,Angola,2019,Total,15 to 19 years,RATE_PER_100000,2.78,,
24,Angola,2019,Total,25 to 34 years,RATE_PER_100000,5.82,,
24,Angola,2019,Total,35 to 44 years,RATE_PER_100000,8.4,,
24,Angola,2019,Total,55 to 64 years,RATE_PER_100000,32.1,,
24,Angola,2019,Total,85 plus years,RATE_PER_100000,165.09,,
24,Angola,2019,Female,15 to 24 years,RATE_PER_100000,1.31,,
784,United Arab Emirates,2019,Female,15 to 24 years,RATE_PER_100000,1.78,,
784,United Arab Emirates,2019,Female,15 to 29 years,RATE_PER_100000,2.53,,
784,United Arab Emirates,2019,Female,75 to 84 years,RATE_PER_100000,7.81,,
784,United Arab Emirates,2019,Male,15 to 29 years,RATE_PER_100000,9.26,,
24,Angola,2019,Female,25 to 34 years,RATE_PER_100000,1.78,,
24,Angola,2019,Female,30 to 49 years,RATE_PER_100000,3.1,,
24,Angola,2019,Female,35 to 44 years,RATE_PER_100000,2.68,,
24,Angola,2019,Male,15 to 24 years,RATE_PER_100000,6.14,,
784,United Arab Emirates,2019,Male,25 to 34 years,RATE_PER_100000,9.63,,
784,United Arab Emirates,2019,Male,35 to 44 years,RATE_PER_100000,8.62,,
784,United Arab Emirates,2019,Male,45 to 54 years,RATE_PER_100000,8.79,,
784,United Arab Emirates,2019,Male,65 to 74 years,RATE_PER_100000,8.5,,
24,Angola,2019,Male,Total years,RATE_PER_100000,9.95,6.02,15.6208
8,Albania,2019,Total,15 to 24 years,RATE_PER_100000,4.67,,
8,Albania,2019,Total,15 to 29 years,RATE_PER_100000,4.25,,
8,Albania,2019,Total,55 to 64 years,RATE_PER_100000,4.71,,
32,Argentina,2019,Total,25 to 34 years,RATE_PER_100000,11.14,,
32,Argentina,2019,Total,65 to 74 years,RATE_PER_100000,11.03,,
32,Argentina,2019,Female,15 to 29 years,RATE_PER_100000,5.64,,
32,Argentina,2019,Female,25 to 34 years,RATE_PER_100000,4.06,,
8,Albania,2019,Total,65 to 74 years,RATE_PER_100000,3.53,,
8,Albania,2019,Total,85 plus years,RATE_PER_100000,22.84,,
8,Albania,2019,Female,35 to 44 years,RATE_PER_100000,1.19,,
8,Albania,2019,Female,85 plus years,RATE_PER_100000,20.48,,
8,Albania,2019,Male,15 to 19 years,RATE_PER_100000,3.63,,
8,Albania,2019,Male,15 to 24 years,RATE_PER_100000,4.57,,
8,Albania,2019,Male,25 to 34 years,RATE_PER_100000,3.73,,
8,Albania,2019,Male,45 to 54 years,RATE_PER_100000,10.84,,
8,Albania,2019,Male,65 to 74 years,RATE_PER_100000,5.25,,
8,Albania,2019,Male,85 plus years,RATE_PER_100000,26.04,,
8,Albania,2019,Male,Total years,RATE_PER_100000,5.94,3.08,9.28
784,United Arab Emirates,2019,Total,25 to 34 years,RATE_PER_100000,8.11,,
32,Argentina,2019,Female,65 to 74 years,RATE_PER_100000,2.91,,
32,Argentina,2019,Male,65 to 74 years,RATE_PER_100000,21.2,,
32,Argentina,2019,Male,75 to 84 years,RATE_PER_100000,31.04,,
51,Armenia,2019,Total,15 to 24 years,RATE_PER_100000,1.29,,
784,United Arab Emirates,2019,Total,30 to 49 years,RATE_PER_100000,7.8,,
784,United Arab Emirates,2019,Total,55 to 64 years,RATE_PER_100000,7.05,,
784,United Arab Emirates,2019,Female,15 to 19 years,RATE_PER_100000,1.13,,
784,United Arab Emirates,2019,Female,25 to 34 years,RATE_PER_100000,3.82,,
51,Armenia,2019,Total,35 to 44 years,RATE_PER_100000,3.23,,
51,Armenia,2019,Total,75 to 84 years,RATE_PER_100000,13.74,,
51,Armenia,2019,Total,Total years,RATE_PER_100000,3.32,2.43,4.42
51,Armenia,2019,Female,15 to 24 years,RATE_PER_100000,0.97,,
51,Armenia,2019,Female,25 to 34 years,RATE_PER_100000,1.22,,
51,Armenia,2019,Female,65 to 74 years,RATE_PER_100000,1.76,,
51,Armenia,2019,Female,75 to 84 years,RATE_PER_100000,2.12,,
51,Armenia,2019,Female,Total years,RATE_PER_100000,1.3,0.914,1.77
784,United Arab Emirates,2019,Female,30 to 49 years,RATE_PER_100000,4.89,,
784,United Arab Emirates,2019,Female,35 to 44 years,RATE_PER_100000,5.89,,
784,United Arab Emirates,2019,Male,15 to 24 years,RATE_PER_100000,7.9,,
784,United Arab Emirates,2019,Male,55 to 64 years,RATE_PER_100000,8.11,,
784,United Arab Emirates,2019,Male,Total years,RATE_PER_100000,7.96,4.52,12.7322
32,Argentina,2019,Total,15 to 19 years,RATE_PER_100000,9.9,,
32,Argentina,2019,Total,30 to 49 years,RATE_PER_100000,9.65,,
32,Argentina,2019,Total,35 to 44 years,RATE_PER_100000,9.6,,
51,Armenia,2019,Male,15 to 24 years,RATE_PER_100000,1.58,,
51,Armenia,2019,Male,25 to 34 years,RATE_PER_100000,1.69,,
51,Armenia,2019,Male,35 to 44 years,RATE_PER_100000,6.41,,
51,Armenia,2019,Male,85 plus years,RATE_PER_100000,69.61,,
28,Antigua and Barbuda,2019,Total,15 to 19 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Total,30 to 49 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Total,55 to 64 years,RATE_PER_100000,3.71,,
28,Antigua and Barbuda,2019,Total,75 to 84 years,RATE_PER_100000,0,,
28,Antigua and Barbuda,2019,Total,Total years,RATE_PER_100000,0.392,0.267,0.557
32,Argentina,2019,Total,45 to 54 years,RATE_PER_100000,9.63,,
32,Argentina,2019,Total,55 to 64 years,RATE_PER_100000,10.48,,
32,Argentina,2019,Female,35 to 44 years,RATE_PER_100000,3.58,,
32,Argentina,2019,Female,45 to 54 years,RATE_PER_100000,3.9,,
32,Argentina,2019,Female,85 plus years,RATE_PER_100000,3.75,,
32,Argentina,2019,Male,25 to 34 years,RATE_PER_100000,18.17,,
32,Argentina,2019,Male,30 to 49 years,RATE_PER_100000,15.84,,
32,Argentina,2019,Male,55 to 64 years,RATE_PER_100000,18.05,,
